ch1.adoc	1 Samuel 9:1-14.
ch2.adoc	1 Samuel 9:15-27.
ch3.adoc	1 Samuel 10
ch4.adoc	1 Samuel 11
ch5.adoc	1 Samuel 12
ch6.adoc	1 Samuel 13
ch7.adoc	1 Samuel 14
ch8.adoc	1 Samuel 15
ch9.adoc	1 Samuel 16
ch10.adoc	1 Samuel 17
ch11.adoc	1 Samuel 18
ch12.adoc	1 Samuel 19
ch13.adoc	1 Samuel 20
ch14.adoc	1 Samuel 21
ch15.adoc	1 Samuel 22
ch16.adoc	1 Samuel 23
ch17.adoc	1 Samuel 24
ch18.adoc	1 Samuel 25
ch19.adoc	1 Samuel 26
ch20.adoc	1 Samuel 27
ch21.adoc	1 Samuel 28
ch22.adoc	1 Samuel 29-30
ch23.adoc	1 Samuel 31
