ch1.adoc	1 Kings 1:32-40.
ch2.adoc	1 Kings 2:5-10.
ch3.adoc	1 Kings 3:1-14.
ch4.adoc	1 Kings 3:27.
ch5.adoc	2 Kings 4:21.
ch6.adoc	1 Kings 5
ch7.adoc	1 Kings 6
ch8.adoc	1 Kings 7:1-12.
ch9.adoc	1 Kings 7:13-51.
ch10.adoc	1 Kings 8
ch11.adoc	1 Kings 8:62-66.
ch12.adoc	1 Kings 9:10-14.
ch13.adoc	1 Kings 9:16.
ch14.adoc	1 Kings 10:1-10
ch15.adoc	1 Kings 10:18.
ch16.adoc	1 Kings 9:26-28; 10:11, 22.
ch17.adoc	1 Kings 10
ch18.adoc	1 Kings 11:29-32.
ch19.adoc	1 Kings 11:14-27.
ch20.adoc	1 Kings 11:42, 43.
