Title~Status~Notes~Author~Date~Category~Subject~Bible Books~Pages~Path
Allegories of Genesis~~~King, Thomas A.~1922~Bible Explanation~~Genesis~90~/bundles/ncbsw/on-deck/english/books/allegories-of-genesis-king.pdf
"Bible Stories and Their Inner Meaning (Originally ""The Sower"")"~~~Worcester, William L.~1880~Bible Explanation~~most books~1102~/bundles/ncbsw/on-deck/english/books/the-sower-worcester.pdf
Bible Study Notes - Volume 1~~~Dole, Anita S. ~1977-1979~Bible Explanation~~Genesis~453~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20ONE.pdf
Bible Study Notes - Volume 2~~~Dole, Anita S. ~1977-1979~Bible Explanation~~Exodus, Leviticus, Numbers, Joshua, Judges~446~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20TWO.pdf
Bible Study Notes - Volume 3~~~Dole, Anita S. ~1977-1979~Bible Explanation~~1 Samuel, 2 Samuel, 1 Kings, 2 Kings, Psalms~430~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20THREE.pdf
Bible Study Notes - Volume 4~~~Dole, Anita S. ~1977-1979~Bible Explanation~~Isaiah, Jeremiah, Ezekiel, Daniel, Joel, Amos, Jonah, Micah, Haggai, Zechariah, Malachi, Matthew~430~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20FOUR.pdf
Bible Study Notes - Volume 5~~~Dole, Anita S. ~1977-1979~Bible Explanation~~Mark, Luke~378~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20FIVE.pdf
Bible Study Notes - Volume 6~~~Dole, Anita S. ~1977-1979~Bible Explanation~~John, Revelation~414~/bundles/ncbsw/on-deck/english/books/Bible%20Study%20Notes%20Volume%20SIX.pdf
The Book of Daniel~~~Hinkley, Willard H.~1894~Bible Explanation~~Daniel~86~/bundles/ncbsw/on-deck/english/books/book-of-daniel-hinkley.pdf
Commentary on the Gospel According to Matthew~~~Bruce, William~1866~Bible Explanation~~Matthew~457~/bundles/ncbsw/on-deck/english/books/commentary-on-matthew-bruce.pdf
Commentary on the Gospel According to St. John~~~Bruce, William~1870~Bible Explanation~~John~390~/bundles/ncbsw/on-deck/english/books/commentary-on-st-john-bruce.pdf
Commentary on the Revelation of St. John~~~Bruce, William~1877~Bible Explanation~~Revelation~448~/bundles/ncbsw/on-deck/english/books/commentary-on-the-revelation-of-st-john-bruce.pdf
Creation~~~Odhner, Hugo Lj.~1964~Bible Explanation~~Genesis~70~/bundles/ncbsw/on-deck/english/books/creation-odhner.pdf
Essays on the Ten Commandments~~~Odhner, Hugo Lj.~1972~Bible Explanation~~Exodus, Deuteronomy~65~/bundles/ncbsw/on-deck/english/books/essays-on-the-ten-commandments-odhner.pdf
An Exposition of the Prophecy of Joel~~~Hyde, James~1898~Bible Explanation~~Joel~292~/bundles/ncbsw/on-deck/english/books/prophecy-of-joel-hyde.pdf
The First Three Kings of Israel~~~Bruce, William~1879~Bible Explanation~~1 Samuel, 2 Samuel, 1 Kings, 2 Kings~726~/bundles/ncbsw/on-deck/english/books/first-three-kings-of-israel-bruce.pdf
The Language of Parable~~~Worcester, William L.~1892~Bible Explanation~~~177~/bundles/ncbsw/on-deck/english/books/the-language-of-parable-worcester.pdf
Minor Prophets: Major Message~~~McCurdy, George~2009~Bible Explanation~~Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, Malachi~1134~/bundles/ncbsw/on-deck/english/books/minor-prophets-major-message-mccurdy.pdf
The Miracles of Jesus Christ~~~Clowes, John~1817~Bible Explanation~~Matthew, Mark, Luke, John~163~/bundles/ncbsw/on-deck/english/books/miracles-of-jesus-christ-clowes.pdf
The Parables of Jesus Christ Explained~~~Clowes, John~1851~Bible Explanation~~Matthew, Mark, Luke, John~167~/bundles/ncbsw/on-deck/english/books/parables-of-jesus-clowes.pdf
The Parables of the New Testament Explained~~~Mitchell, Edward~1887~Bible Explanation~~Matthew, Mark, Luke, John~307~/bundles/ncbsw/on-deck/english/books/parables-of-the-new-testament-explained-mitchell.pdf
The Path: The Inner Life of Jesus Christ~~~Childs, Geoffrey S.~2002~Bible Explanation~~Genesis~259~/bundles/ncbsw/on-deck/english/books/the-path-childs.pdf
The Psalms: A New Translation from the Hebrew~~~Clowes, John~1837~Bible Explanation~~Psalms~498~/bundles/ncbsw/on-deck/english/books/the-psalms-clowes.pdf
The Story of Creation in Genesis~~~Pitcairn, Theodore~1940~Bible Explanation~~Genesis~37~/bundles/ncbsw/on-deck/english/books/the-story-of-creation-in-genesis-pitcairn.pdf
The Tabernacle of Israel~~~DeCharms, George~1969~Bible Explanation~~Exodus~156~/bundles/ncbsw/on-deck/english/books/the-tabernacle-of-israel-decharms.pdf
The Tree of Life: A Running Commentary on the Inner Meaning of the Word of God~~~Hoeck, Louis G.~1940~Bible Explanation~~Genesis-Revelation~272~/bundles/ncbsw/on-deck/english/books/tree-of-life-hoeck.pdf
The Two Books of Kings Explained~~~MacLagan, Henry~1905~Bible Explanation~~1 Kings, 2 Kings~611~/bundles/ncbsw/on-deck/english/books/the-two-books-of-kings-explained-maclagen.pdf
Parables of the Old Testament Explained~html-active~48 OT stories, already presented into NCBS~Mitchell, Edward~1903~Bible Explanation~~~49~https://newchristianbiblestudy.org/bundles/ncbsw/on-deck/english/books/Parables%20OT%20Mitchell.html
